"newCluster","CellTypeNew"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Schwann","Other Non-Endocrine"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Endothelial","Other Non-Endocrine"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Alpha","Alpha"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PSC","SC"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"PSC","SC"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Delta","Other Endocrine"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"PSC","SC"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Alpha","Alpha"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PSC","SC"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Duct","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Alpha","Alpha"
"Beta","Beta"
"Alpha","Alpha"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Delta","Other Endocrine"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Alpha","Alpha"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Immune","Other Non-Endocrine"
"PP","Other Endocrine"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Endothelial","Other Non-Endocrine"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Duct","Other Non-Endocrine"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"PSC","SC"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Duct","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Alpha","Alpha"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Delta","Other Endocrine"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PSC","SC"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Endothelial","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Immune","Other Non-Endocrine"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Delta","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"PP","Other Endocrine"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Beta","Beta"
"Delta","Other Endocrine"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
"Alpha","Alpha"
"Beta","Beta"
"Beta","Beta"
